"Call us via %1","Call us via %1"
"Explore our %1 page","Explore our %1 page"
"Go to our %1 page","Go to our %1 page"
"View more on our %1 page","View more on our %1 page"
"Visit %1 on Twitter for more","Visit %1 on Twitter for more"
"Twitter handle","Twitter handle"
"WhatsApp Contact Number","WhatsApp Contact Number"
