"Call us via %1","Call us via %1"
"Enter a valid Twitter handle without the url","Enter a valid Twitter handle without the url"
"Explore our %1 page","Explore our %1 page"
"Go to our %1 page","Go to our %1 page"
"Store Extra Information","Store Extra Information"
"Twitter handle","Twitter handle"
"View more on our %1 page","View more on our %1 page"
"Visit %1 on Twitter for more","Visit %1 on Twitter for more"
"WhatsApp Contact Number","WhatsApp Contact Number"
