"Call us via %1","Rufen Sie uns über %1 an"
"CoC number %1","CoC Nummer %1"
"Enter a valid Twitter handle without the url","Geben Sie einen gültigen Twitter-Handle ohne die URL ein"
"Explore our %1 page","Entdecken Sie unsere %1 Seite"
"Go to our %1 page","Gehen Sie zu unserer %1 Seite"
"Store Extra Information","Zusätzliche Shop Informationen"
"View more on our %1 page","Weitere Informationen finden Sie auf unserer %1 Seite"
"Visit %1 on Twitter for more","Besuchen Sie %1 auf Twitter für mehr"
"WhatsApp Contact Number","WhatsApp-Kontaktnummer"
